Setor;Categoria;Despesas;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/26
Jurídico;Despesas com Pessoal;Acordos Trabalhistas;1750;750;750;750;750;750;750;750
Financeiro;Despesas com Pessoal;Adiantamento - Credenciado Administrativo;;4150;6750;5950;3500;6405;4450;9967
Jurídico;Despesas com Pessoal;Adiantamento - Credenciado Administrativo;;;;;5000;500;;
Licitações;Despesas com Pessoal;Adiantamento - Credenciado Administrativo;;320;;;;1500;1500;
Marketing;Despesas com Pessoal;Adiantamento - Credenciado Administrativo;;;;;;;;1250
Operacional;Despesas com Pessoal;Adiantamento - Credenciado Administrativo;;;;;;;1000;
RH;Despesas com Pessoal;Adiantamento - Credenciado Administrativo;;4000;8000;1600;2000;1000;2000;2250
TI;Despesas com Pessoal;Adiantamento - Credenciado TI;;;500;;;;;500
TI;Despesas com Pessoal;Adiantamento - Credenciado TI;;1500;;500;2500;3000;27000;1500
Administrativo;Despesas Administrativas;Água e Esgoto;;;;;154;;1218;
Administrativo;Despesas Administrativas;Alimentação/Refeição;266;463;4820;716;1523;2113;2222;541
Comercial;Despesas Administrativas;Alimentação/Refeição;367;;;;;;;
Financeiro;Despesas Administrativas;Alimentação/Refeição;171;731;2014;;;;;121
Licitações;Despesas Administrativas;Alimentação/Refeição;;;;215;;;;
Operacional;Despesas Administrativas;Alimentação/Refeição;36;327;133;;;269;;43
RH;Despesas Administrativas;Alimentação/Refeição;699;869;;;624;;;739
TI;Despesas Administrativas;Alimentação/Refeição;;317;;167;710;;;
Administrativo;Despesas Administrativas;Alvarás/Licenças Públicas;232;602;607;377;370;370;370;1031
Administrativo;Despesas Administrativas;Assessoria/Associações;;;;;;;;286
Licitações;Despesas Administrativas;Assessoria/Associações;;;;42;;;;444
Operacional;Despesas Administrativas;Assessoria/Associações;525;422;422;;;543;;
Operacional;Despesas com Pessoal;Bonificação/Premiação;10000;;;;;;;
Jurídico;Despesas Administrativas;Cartório;75;;;;;;;
RH;Despesas Administrativas;Cartório;;;78;;;;;
Administrativo;Serviços;Caução;;;5730;;;;;
Administrativo;Ativos;Celular e/ou aparelho de comunicação;;;;;;;2100;816
TI;Ativos;Celular e/ou aparelho de comunicação;;2052;3076;4209;3475;3098;1133;1345
Administrativo;Despesas Administrativas;Combustível;;;;;;453;430;80
Financeiro;Despesas Administrativas;Combustível;;;;;;;;65
Operacional;Despesas Administrativas;Combustível;;;;;;98;;
RH;Despesas Administrativas;Combustível;160;37;;;28;28;;
TI;Despesas Administrativas;Combustível;50;235;123;30;100;;92;50
Administrativo;Outros Custos;Combustível - Operacional;;;;;100;;411;
Licitações;Outros Custos;Combustível - Operacional;;;;150;;;;
Operacional;Outros Custos;Combustível - Operacional;831;1177;1506;1279;1809;2628;1230;549
Jurídico;Custo dos Serviços Prestados;Comissões;;;;;793;881;3190;2612
Licitações;Custo dos Serviços Prestados;Comissões;;;;;1019;1138;3994;4850
Administrativo;Outros Custos;Compra de insumos;2458;4357;5198;5122;1182;1447;1958;6809
Financeiro;Outros Custos;Compra de insumos;;232;127;;;;;
Operacional;Outros Custos;Compra de insumos;844;668;;;;;;
RH;Outros Custos;Compra de insumos;7;;;13;24;;;
TI;Ativos;Computador, notebook e/ou periféricos;;;;;;;198;539
Financeiro;Ativos;Computador, notebook e/ou periféricos;;;;;;;;35
TI;Ativos;Computador, notebook e/ou periféricos;1120;1939;1862;539;539;1191;1183;512
Administrativo;Serviços;Consórcios - a contemplar;2840;2840;2840;2840;2840;2840;2875;2875
Administrativo;Ativos;Consórcios - contemplados;4877;4877;7301;4877;2413;4825;2413;2413
Administrativo;Despesas Administrativas;Contabilidade;2356;2196;2406;2196;2196;3294;3294;4985
