Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/26;
Conectius;Conectius - Rateio;Ativos;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;8261;10900;7076;7432;6590;6608;6540;
Conectius;Conectius - Rateio;Consórcios - a contemplar;694;694;694;694;694;694;1384;1384;1384;1384;1384;1384;676;663;683;686;693;707;695;710;681;686;699;685;689;
Conectius;Conectius - Rateio;Custo dos Serviços Prestados;;;;9982;7366;7305;7305;7305;7305;7305;1290;7305;8262;8362;8262;8262;8707;8262;0;1016;;;;;;
Conectius;Conectius - Rateio;Despesas Administrativas;3524;3927;0;1748;1079;989;1555;1753;1710;1465;2423;4549;4457;860;2967;3420;2139;1940;5950;1844;3691;4001;2635;4652;1184,28;
Conectius;Conectius - Rateio;Despesas com Pessoal;45755;33709;12608;3458;2547;3152;2576;3014;3162;4231;3494;6540;9594;9138;8052;6224;8489;3561;1418;0;8668;167;;;;
Conectius;Conectius - Rateio;Despesas Financeiras;;;;;;;;;;;;;;;;;;;8521;9316;7678,5;6152;6207;7810;6281;
Conectius;Conectius - Rateio;Despesas Variáveis;0;0;0;1646;921;831;1397;1595;1595;1063;2308;4434;4342;745;2852;3296;1887;1809;5950;1844;;;;;;
Conectius;Conectius - Rateio;Impostos;24600;15051;2497;701;816;446;2151;1376;1470;375;355;371;892;1731;446;446;446;870;881;0;;515;167;;;
Conectius;Conectius - Rateio;Outras Receitas;0;0;0;0;0;0;0;0;0;0;0;0;3591;3591;3591;3591;3591;3591;3591;3591;3591;;;;;
Conectius;Conectius - Rateio;Plano de Saúde;0;0;0;0;0;0;0;0;0;0;0;0;5395;5395;5395;5395;5395;5395;5395;6179,14;9485;1314;6785;6785;6785;
Conectius;Conectius - Rateio;Receita Bruta de Vendas;168883;102034;7916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8587;;;100000;15622,58;
Conectius;Conectius - Rateio;Receitas Financeiras;;;;;;;;;;;;;;;;;;0;0,02;0,77;0,14;0,49;0;;0,36;
DZM;DZM - Alcalinas;Despesas Administrativas;966;1111;1347;1684;2022;850;1024;919;1390;991;897;543;1498;930;484;484;484;;;;;;;;;
DZM;DZM - Audiovisual;Despesas Administrativas;0;0;0;0;0;175;61;83;83;157;496;287;130;446;176;127;0;;;;;;;;;
DZM;DZM - Imóveis Guilhermina;Despesas Administrativas;0;0;0;0;74;4;2;112;294;117;202;497;515;554;420;231;14;;;;;;;;;
DZM;DZM - Rancho da Praia;Despesas Administrativas;9037;6235;3270;3996;7788;2998;1841;6663;23003;33226;53884;46072;19672;12349;5128;14443;10500;;;;;;;;;
DZM;DZM - Terceirização;Despesas Administrativas;0;0;0;314;1115;1684;1368;1447;1502;1870;2357;3370;1963;8104;334;1206;1668;;;;;;;;;
DZM;DZM - Alcalinas;Custo dos Serviços Prestados;4642;10026;6302;11579;4889;3590;3918;717;3171;0;0;0;0;0;0;0;0;;;;;;;;;
DZM;DZM - Audiovisual;Custo dos Serviços Prestados;0;0;0;0;0;55;463;0;0;0;0;0;0;87;0;0;0;;;;;;;;;
DZM;DZM - Imóveis Guilhermina;Custo dos Serviços Prestados;0;0;0;0;0;5;33;0;0;0;0;0;0;6;0;0;0;;;;;;;;;
DZM;DZM - Rancho da Praia;Custo dos Serviços Prestados;2994;3750;4237;3935;3931;4331;4357;5313;7970;27602;10974;17015;19093;1056;5225;22127;3133;;;;;;;;;
DZM;DZM - Terceirização;Custo dos Serviços Prestados;0;0;26979;23096;36264;37177;34895;39097;39813;41486;86617;33042;31171;21875;31978;32768;39661;;;;;;;;;
DZM;DZM - Alcalinas;Impostos;49;172;1016;716;516;234;4;202;1307;0;0;0;0;0;0;0;0;;;;;;;;;
DZM;DZM - Audiovisual;Impostos;0;0;0;0;0;649;715;737;787;920;953;945;1021;1080;1005;1085;0;;;;;;;;;
DZM;DZM - Imóveis Guilhermina;Impostos;0;0;0;0;67;2;0;212;217;226;228;234;1490;723;405;418;270;;;;;;;;;
DZM;DZM - Rancho da Praia;Impostos;331;141;500;214;165;71;58;956;69;81;467;2250;29;45;116;48;341;;;;;;;;;
DZM;DZM - Terceirização;Impostos;0;0;0;0;0;4372;2659;3356;3154;4468;4571;0;13560;5009;0;3830;10902;;;;;;;;;
DZM;DZM - Alcalinas;Receita Bruta de Vendas;432;3226;5382;13983;6677;3811;0;6677;16590;0;0;0;0;0;0;0;0;;;;;;;;;
