Empresa;Projeto;Categoria;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25
DZM;DZM - Alcalinas;Despesas Administrativas;0;484;0;345;374;374;374
DZM;DZM - G2;Despesas Administrativas;15000;9143;9143;9143;9143;9143;9143
DZM;DZM - Imóveis Guilhermina;Despesas Administrativas;523;1067;157;338;369;349;606
DZM;DZM - Imóveis Guilhermina;Despesas Financeiras;3;4;0;0;0;0;0
DZM;DZM - Imóveis Guilhermina;Impostos;0;140;0;0;0;0;0
DZM;DZM - Imóveis Guilhermina;Outras Receitas;0;0;0;0;0;0;0
DZM;DZM - Imóveis Guilhermina;Receita Bruta de Vendas;1822;1859;1834;1899;816;768;776
DZM;DZM - Imóveis Guilhermina;Receitas Financeiras;7;0;18;18;0;39;0
DZM;DZM - Mar Brasil;Ativos;0;0;0;771;0;0;1500
DZM;DZM - Mar Brasil;Custo dos Serviços Prestados;0;0;140;0;0;0;0
DZM;DZM - Mar Brasil;Despesas Administrativas;2435;1792;2063;400;100;180;9367
DZM;DZM - Mar Brasil;Despesas Financeiras;3;14;0;0;0;0;0
DZM;DZM - Mar Brasil;Despesas Variáveis;3142;49;72;0;610;40;0
DZM;DZM - Mar Brasil;Despesas com Pessoal;1000;0;0;350;0;0;0
DZM;DZM - Mar Brasil;Recuperação de Despesas Variáveis;5363;5363;5363;5363;5363;5363;5363
DZM;DZM - Mar Brasil - Climatização;Despesas Administrativas;0;0;0;0;700;800;1000
DZM;DZM - Mar Brasil - Climatização;Despesas de Vendas e Marketing;0;0;0;0;0;0;1290
DZM;DZM - Pessoal;Despesas Administrativas;0;0;1027;2355;3278;359;0
DZM;DZM - Pessoal;Despesas Financeiras;0;6;0;0;0;0;0
DZM;DZM - Pessoal;Despesas Variáveis;2829;7676;7205;3384;2033;5775;1979
DZM;DZM - Pessoal;Despesas com Pessoal;0;0;0;0;0;500;0
DZM;DZM - Pessoal;Outras Receitas;0;0;129;129;129;0;0
DZM;DZM - RATEIO;Ativos;0;0;139;0;0;0;0
DZM;DZM - RATEIO;Despesas Administrativas;0;657;1944;1701;4353;3066;2297
DZM;DZM - RATEIO;Despesas Financeiras;0;0;239;239;265;271;274
DZM;DZM - RATEIO;Despesas Variáveis;0;0;0;64;0;0;794
DZM;DZM - RATEIO;Despesas com Pessoal;0;0;0;1848;0;0;0
DZM;DZM - RATEIO;Despesas de Vendas e Marketing;0;0;0;0;0;20000;0
DZM;DZM - RATEIO;Impostos;5343;0;10532;16983;21438;21068;20563
DZM;DZM - RATEIO;Outras Receitas;0;0;0;0;2;1;3
DZM;DZM - RATEIO;Recuperação de Despesas Variáveis;0;0;1;284;0;60;0
DZM;DZM - Rancho da Praia;Ativos;0;1613;244;2514;827;1257;1634
DZM;DZM - Rancho da Praia;Credenciado Administrativo;2996;3493;3056;3721;2500;3300;3800
DZM;DZM - Rancho da Praia;Custo dos Serviços Prestados;169;150;585;655;125;410;855
DZM;DZM - Rancho da Praia;Despesas Administrativas;4917;5466;8804;7491;9428;15380;4729
DZM;DZM - Rancho da Praia;Despesas Financeiras;3;114;54;29;0;0;1
DZM;DZM - Rancho da Praia;Despesas Variáveis;3508;2530;1900;3138;2162;6219;6748
DZM;DZM - Rancho da Praia;Despesas com Pessoal;0;619;1174;84;310;0;1650
DZM;DZM - Rancho da Praia;Outras Receitas;0;1;0;0;0;0;0
DZM;DZM - Rancho da Praia;Receita Bruta de Vendas;18778;43989;14848;23840;24030;20745;9258
DZM;DZM - Ribeirópolis - Galpão 0643;Custo dos Serviços Prestados;665;0;0;0;0;0;0
DZM;DZM - Ribeirópolis - Galpão 0643;Despesas Administrativas;500;975;1717;1493;3251;874;4944
DZM;DZM - Ribeirópolis - Galpão 0643;Despesas Financeiras;2;0;0;0;0;0;0
DZM;DZM - Ribeirópolis - Galpão 0643;Despesas Variáveis;4800;650;40;3779;40;60;3400
DZM;DZM - Ribeirópolis - Galpão 0643;Impostos;91;0;0;0;0;0;0
DZM;DZM - Terceirização;Ativos;0;0;0;758;0;0;0
DZM;DZM - Terceirização;Despesas Administrativas;2813;1526;1153;3768;3054;2635;2195
DZM;DZM - Terceirização;Despesas Financeiras;194;108;0;0;0;0;0
DZM;DZM - Terceirização;Despesas Variáveis;0;83;0;0;0;0;0
DZM;DZM - Terceirização;Despesas com Pessoal;33829;47861;53340;41854;58481;51936;53188
DZM;DZM - Terceirização;Despesas de Vendas e Marketing;0;0;0;1160;496;500;0
DZM;DZM - Terceirização;Outras Receitas;1;1;0;0;0;0;0
DZM;DZM - Terceirização;Receita Bruta de Vendas;44229;49728;55090;51628;53726;63276;74889
DZM;DZM - Ybox;Despesas Administrativas;0;0;34;0;0;0;0
DZM;N/D;Recuperação de Despesas Variáveis;0;0;100;0;0;0;0
DZM;Tchandra Coelho;Ativos;0;0;0;0;0;0;94
DZM;Tchandra Coelho;Consórcios - contemplados;0;0;0;0;2569;2631;2631
DZM;Tchandra Coelho;Despesas Variáveis;0;0;300;7187;5590;5780;21202
DZM;Ybox - Terceirização;Receita Bruta de Vendas;0;0;0;12220;3464;3345;6714
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Adiantamento - Credenciado Administrativo;0;0;0;0;2520;0;3516
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Adiantamento - Credenciado TI;0;0;0;0;600;0;10606
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Ativos;0;0;0;0;4900;96;25566
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Consórcios - a contemplar;0;0;0;0;682;0;1129
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Consórcios - contemplados;0;0;0;0;579;579;948
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Corretiva - B2G;0;0;0;13;7504;4576;12755
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Credenciado Administrativo;0;0;0;4421;9092;0;16399
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Credenciado Operacional;0;0;0;1652;1956;5091;5985
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Credenciado TI;0;0;0;0;3540;0;4623
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Custo dos Serviços Prestados;0;0;0;0;2917;0;5385
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas Administrativas;0;0;0;0;23300;12;21183
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas Financeiras;0;0;0;0;1931;5;3331
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas Variáveis;0;0;0;0;1349;0;14210
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas com Pessoal;0;0;0;0;3970;0;1657
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas de Vendas e Marketing;0;0;0;0;184;0;795
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Impostos;0;0;0;0;5947;0;36693
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Outros Custos;0;0;0;0;5304;120;3451
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Preventiva - B2G;0;0;0;0;738;46;208
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;4387;0;23440
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Receita Bruta de Vendas;0;0;0;0;170636;0;398442
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Receitas Financeiras;0;0;0;0;0;30;2
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Terceirização de Mão de Obra;0;0;0;0;12894;0;34726
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Corretiva - B2G;5885;2764;3356;228;225;228;0
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Credenciado Operacional;3944;7934;8500;4100;0;0;0
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Custo dos Serviços Prestados;250;0;628;378;0;125;0
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Despesas Administrativas;0;2308;3139;2317;0;471;0
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Despesas Financeiras;0;5;1;0;0;0;0
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Despesas Variáveis;0;0;0;0;0;5;0
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Outros Custos;0;0;410;111;0;0;0
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Preventiva - B2G;0;0;0;110;0;0;0
