Empresa;Projeto;Categoria;distinct_month_rows
DZM;DZM - Alcalinas;Despesas Administrativas;2
DZM;DZM - Imóveis Guilhermina;Despesas Administrativas;2
DZM;DZM - Imóveis Guilhermina;Impostos;2
DZM;DZM - Imóveis Guilhermina;Receita Bruta de Vendas;2
DZM;DZM - Rancho da Praia;Custo dos Serviços Prestados;2
DZM;DZM - Rancho da Praia;Despesas Administrativas;2
DZM;DZM - Rancho da Praia;Receita Bruta de Vendas;2
DZM;DZM - Terceirização;Despesas Administrativas;2
DZM;DZM - Terceirização;Receita Bruta de Vendas;2
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Provisão - IRPJ e CSSL Trimestral;2
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Corretiva - B2G;2
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Custo dos Serviços Prestados;2
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Despesas Administrativas;2
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Preventiva - B2G;2
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Corretiva - B2G;2
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Custo dos Serviços Prestados;2
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Despesas Administrativas;2
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Impostos;2
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Preventiva - B2G;2
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Provisão - IRPJ e CSSL Trimestral;2
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Receita Bruta de Vendas;2
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Custo dos Serviços Prestados;2
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Despesas Administrativas;2
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Impostos;2
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Provisão - IRPJ e CSSL Trimestral;2
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Receita Bruta de Vendas;2
Mar_BR;Eventuais B2G;Provisão - IRPJ e CSSL Trimestral;2
Mar_BR;Rede Alpha;Despesas com Pessoal;2
Mar_BR;Rede Alpha;Impostos;2
Mar_BR;Rede Alpha;Provisão - IRPJ e CSSL Trimestral;2
Mar_BR;Rede Alpha;Receita Bruta de Vendas;2
Mar_BR;Rossi Advogados;Ativos;2
Mar_BR;Rossi Advogados;Despesas com Pessoal;2
Mar_BR;Rossi Advogados;Impostos;2
Mar_BR;Rossi Advogados;Provisão - IRPJ e CSSL Trimestral;2
Mar_BR;Rossi Advogados;Receita Bruta de Vendas;2
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Receita Bruta de Vendas;2
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Corretiva - B2G;2
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Custo dos Serviços Prestados;2
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas Administrativas;2
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas com Pessoal;2
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Impostos;2
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Preventiva - B2G;2
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Provisão - IRPJ e CSSL Trimestral;2
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Receita Bruta de Vendas;2
