codigo_projeto;descricao_projeto
11354704435;DZM - Alcalinas
11354705374;DZM - Terceirização
11354705456;DZM - Imóveis Guilhermina
11354705529;DZM - Mar Brasil - Climatização
11354705570;DZM - Rancho da Praia
11354705693;DZM - Obra - Rancho
11354705866;DZM - Obra - Ribeirópolis
11383028588;DZM - Mar Brasil
11389399339;DZM - Pessoal
11391789234;DZM - Administrativo
11407656207;DZM - GetAir
11435507946;Tchandra Coelho
11444864223;Ybox - Terceirização
11447508324;DZM - G2
11471326496;DZM - Intermediação de Negócios
11543547587;DZM - Locação 647
11587013786;Casa Tupi 771 - Anexo
