codigo_categoria;descricao_categoria;codigo_conta_dre
0.01;Transferência;
0.01.01;Entrada de Transferência;
0.01.02;Saída de Transferência;
1.01;Receitas Diretas;
1.01.01;Clientes - Venda de Mercadoria Fabricadas;1.01.01
1.01.02;Locação de Imóvel - Receita;1.01.01
1.01.03;Locação de espaço;1.01.01
1.01.90;Provisão Locação de Imóvel - Receita;1.01.01
1.01.91;Provisão Intermediação de Negócios;
1.01.92;Provisão Terceirização de Mão de Obra;
1.01.93;Intermediação de Negócios - Provisão;
1.01.94;Locação de equipamento - Tenda;1.01.01
1.01.95;Créditos Mar Brasil;
1.01.96;Locação de espaço - Parcelamento;1.01.01
1.01.97;Contrato de prestação de serviço;1.11.01
1.01.98;Intermediação de Negócios - Receita;
1.01.99;Terceirização de Mão de Obra - Receita;1.01.01
1.02;Receitas Indiretas;
1.02.01;Dividendos Recebidos;1.11.01
1.02.02;Rendimentos de Aplicações;1.11.01
1.02.95;"&lt;Disponível&gt;";
1.02.96;"&lt;Disponível&gt;";
1.02.97;"&lt;Disponível&gt;";
1.02.98;"&lt;Disponível&gt;";
1.02.99;"&lt;Disponível&gt;";
1.03;Devoluções;
1.03.01;Devoluções de Compra de Mercadoria de Revenda;2.01.02
1.03.02;Devoluções de Compra de Material de Consumo;2.01.02
1.03.03;Devoluções de Compra de Matéria Prima;2.01.02
1.03.04;Devoluções de Compra de Ativo;2.01.02
1.03.26;Devoluções de Compra de Serviços;2.01.02
1.03.99;Estornos Bancários;
1.04;Outras Entradas;
1.04.01;Adiantamento de Clientes;
1.04.02;Reembolso de Despesas;2.01.02
1.04.03;Empréstimos Bancários;
1.04.04;Aumento de Capital;
1.04.05;Venda de Participações;
1.04.06;Venda de Ativos;
1.04.95;Prêmios de Seguros / Sinistros;
1.04.96;"&lt;Disponível&gt;";
1.04.97;"&lt;Disponível&gt;";
1.04.98;"&lt;Disponível&gt;";
1.04.99;Mútuo - Entradas;
2.01;Despesas Diretas;
2.01.01;Compras de Mercadorias para Revenda;1.21.02
2.01.02;Frete;1.01.03
2.01.03;Compras de Materia Prima;1.21.02
2.01.04;Compra de Serviços;1.21.02
2.01.95;"&lt;Disponível&gt;";
2.01.96;Manutenção de veículos;1.21.03
2.01.97;Distribuição de Lucro;2.01.01
2.01.98;Assessoria/Associações;2.11.02
2.01.99;Instalação de equipamentos;1.21.03
2.02;Despesas de Vendas e Marketing;
2.02.01;Comissões;1.21.03
2.02.02;Marketing;2.11.04
2.02.03;Despesas de Viagens;2.01.01
2.02.04;Bonificações - Marketing;2.11.04
2.02.95;"&lt;Disponível&gt;";
2.02.96;"&lt;Disponível&gt;";
2.02.97;"&lt;Disponível&gt;";
2.02.98;"&lt;Disponível&gt;";
2.02.99;Patrocínios;2.11.04
2.03;Despesas com Pessoal;
2.03.01;Salários;2.11.01
2.03.02;Adiantamento Salarial;2.11.01
2.03.03;Férias;
2.03.04;Rescisões;2.11.01
2.03.05;13º Salário;
2.03.06;INSS - GPS;2.11.01
2.03.07;FGTS;2.11.01
2.03.08;IRRF;2.11.01
2.03.09;Pensão Alimentícia;2.11.01
2.03.10;Assistência Médica;2.11.01
2.03.11;Vale Transporte;2.11.01
2.03.12;Vale Refeição;2.11.01
