codigo_categoria;descricao_categoria;codigo_conta_dre
0.01;Transferência;
0.01.01;Entrada de Transferência;
0.01.02;Saída de Transferência;
1.01;Receitas Diretas;
1.01.01;Clientes - Venda de Mercadoria Fabricadas;1.01.01
1.01.02;Clientes - Serviços B2G;1.01.01
1.01.03;Clientes - Revenda de Mercadoria - B2G;1.01.01
1.01.90;Provisão Clientes - Serviços B2B;1.01.01
1.01.91;Provisão Clientes - Serviços B2G;1.01.01
1.01.92;Retenções - INSS;1.01.02
1.01.93;Retenções - ISS;1.01.02
1.01.94;Retenções - Cofins;1.01.02
1.01.95;Retenções - PIS;1.01.02
1.01.96;Retenções - CSSL;1.01.02
1.01.97;Retenções - IRRF;1.01.02
1.01.98;Clientes - Serviços B2C;1.01.01
1.01.99;Clientes - Serviços B2B;1.01.01
1.02;Receitas Indiretas;
1.02.01;Dividendos Recebidos;1.11.01
1.02.02;Rendimentos de Aplicações;1.11.02
1.02.95;"&lt;Disponível&gt;";
1.02.96;"&lt;Disponível&gt;";
1.02.97;"&lt;Disponível&gt;";
1.02.98;Mútuo - Entradas;
1.02.99;Lucro na Alienação de Bens;1.11.01
1.03;Devoluções;
1.03.01;Devoluções de Compra de Mercadoria de Revenda;2.01.02
1.03.02;Devoluções de Compra de Material de Consumo;2.01.02
1.03.03;Devoluções de Compra de Matéria Prima;2.01.02
1.03.04;Devoluções de Compra de Ativo;1.11.01
1.03.26;Devoluções de Compra de Serviços;1.11.01
1.03.99;Estorno de Pagamentos;
1.04;Outras Entradas;
1.04.01;Adiantamento de Clientes;
1.04.02;Reembolso de Despesas;1.11.01
1.04.03;Empréstimos Bancários;1.11.01
1.04.04;Aumento de Capital;
1.04.05;Venda de Participações;
1.04.06;Venda de Ativos;1.11.01
1.04.95;Prêmios de Seguros / Sinistros;
1.04.96;"&lt;Disponível&gt;";
1.04.97;"&lt;Disponível&gt;";
1.04.98;"&lt;Disponível&gt;";
1.04.99;"&lt;Disponível&gt;";
1.05;Custo do Serviço Prestado;
1.05.88;Licença de aplicativos e/ou aluguel de softwares - Operacional;1.21.03
1.05.89;EPI;1.21.03
1.05.90;Manutenção de veículos;1.21.03
1.05.91;Pedágio / TAG;1.21.03
1.05.92;Combustível;1.21.03
1.05.93;Terceirização de Mão de Obra;1.21.02
1.05.94;Locação de Equipamento;1.21.02
1.05.95;Incentivo Veicular;1.21.02
1.05.96;Equipamentos;1.21.02
1.05.97;Manutenção Preventiva;1.21.02
1.05.98;Manutenção Corretiva;1.21.02
1.05.99;Prestação de Serviço PJ (MEI - Operacional);1.21.02
2.01;Despesas Diretas;
2.01.01;Credenciado Operacional;1.21.02
2.01.02;Corretiva - B2G;1.21.02
2.01.03;Preventiva - B2G;1.21.02
2.01.04;Equipamentos;1.21.02
2.01.83;Eventos/Confraternizações;2.11.02
2.01.84;Antecipações - DZM;
2.01.85;Compra de Mercadoria para Revenda;1.21.02
2.01.86;Seguro - Oftalmológico;1.21.03
2.01.87;Compra de insumos;1.21.03
2.01.88;Preventiva - B2C;1.21.02
2.01.89;Corretiva - B2C;1.21.02
2.01.90;Preventiva  - B2B;1.21.02
2.01.91;Corretiva - B2B;1.21.02
2.01.92;Licença de aplicativos e/ou aluguel de softwares - Operacional;1.21.03
