codigo_conta_dre;descricao_conta_dre;nao_exibir_dre;nivel_dre;sinal_dre;totaliza_dre
1;Lucro Bruto;N;1;;S
1.01;Receita Líquida Operacional;N;2;;S
1.01.01;Receita Bruta de Vendas;N;3;+;N
1.01.02;Impostos;N;3;-;N
1.01.03;Deduções de Receita;N;3;-;N
1.11;Receita Líquida Indireta;N;2;;S
1.11.01;Outras Receitas;N;3;+;N
1.11.02;Receitas Financeiras;N;3;+;N
1.11.03;Outras Deduções de Receita;N;3;-;N
1.21;Custos;N;2;;S
1.21.01;Custo Médio (CMC) das Vendas;S;3;-;N
1.21.02;Custo dos Serviços Prestados;N;3;-;N
1.21.03;Outros Custos;N;3;-;N
2;Despesas;N;1;;S
2.01;Variáveis;N;2;;S
2.01.01;Despesas Variáveis;N;3;-;N
2.01.02;Recuperação de Despesas Variáveis;N;3;+;N
2.11;Fixas;N;2;;S
2.11.01;Despesas com Pessoal;N;3;-;N
2.11.02;Despesas Administrativas;N;3;-;N
2.11.03;Despesas Financeiras;N;3;-;N
2.11.04;Despesas de Vendas e Marketing;N;3;-;N
2.11.05;Outros Tributos;N;3;-;N
2.11.10;Recuperação de Despesas Fixas;N;3;+;N
3;Investimentos;N;1;-;S
3.01;Investimentos;N;2;-;S
3.01.01;Ativos;N;3;-;N
3.01.02;Serviços;N;3;-;N
