codigo_projeto;descricao_projeto
7665017246;Estoque
7666486754;Climatização B2G
7666553658;Climatização B2B
7666605975;Administrativo
7666606923;Comercial
7666609289;Design
7666609416;Financeiro
7666609503;Jurídico
7666609585;Licitações
7666609727;Marketing
7666609793;Operacional
7666609872;Recursos Humanos
7666609947;TI
7670629009;Santos STS SEDUC 36693/2022 12/2024
7670629132;Bertioga SESAP 1390/2024 71/2024
7670629225;Bertioga SEDUC 378/2024 54/2024
7670629304;São Paulo CMSP CSP 274/2024 03/2025
7670629460;Praia Grande 171/2019 141/2020
7670629913;Chiler 032/2023 041/2023
7670630062;Rede Alpha
7670630226;Rossi Advogados
7670630409;Eventuais B2G
7670630592;Eventuais B2B
7671452622;Galpão Ribeirópolis - 643
7688407565;D.Z.M
7696306719;Ybox
7696433153;Capina Elétrica / MAM / Crestani / Zasso
7725065219;Galpão Ribeirópolis - 647
7779883446;Mar Brasil - G2
7813250266;São Paulo CREF4 PSP 2325/2025 93/2025
7813250345;São Paulo CRSN PSP 6018/2025
7830974417;Bertioga SEDUC 3151/2025 135/2025
7928038779;São Paulo SmartSampa SMSU PSP 6029/2025 055/2025
7937851830;Diretoria - Pessoal
7941652489;Casa Tupi 771 - Anexo
12216330709;G2 - Paraguai
12217955129;Locação Oftalmológico 14/2021 033/2021
