Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;
Conectius;Conectius - Rateio;Ativos;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;8261;10900;7076;7432;6590;
Conectius;Conectius - Rateio;Consórcios - a contemplar;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;710;681;686;699;
Conectius;Conectius - Rateio;Custo dos Serviços Prestados;;;;9982;7366;7305;7305;7305;7305;7305;1290;7305;8262;8362;8262;8262;8707;8262;0;1016;;;;
Conectius;Conectius - Rateio;Despesas Administrativas;3524;3927;0;1748;1079;989;1555;1753;1710;1465;2423;4549;4457;860;2967;3420;2139;1940;5950;1844;3691;4001;2635;
Conectius;Conectius - Rateio;Despesas com Pessoal;45755;33709;12608;3458;2547;3152;2576;3014;3162;4231;3494;6540;9594;9138;8052;6224;8489;3561;1418;0;8668;167;;
Conectius;Conectius - Rateio;Despesas Financeiras;;;;;;;;;;;;;;;;;;;8521;9316;7678,5;6152;6207;
Conectius;Conectius - Rateio;Despesas Variáveis;0;0;0;1646;921;831;1397;1595;1595;1063;2308;4434;4342;745;2852;3296;1887;1809;5950;1844;;;;
Conectius;Conectius - Rateio;Impostos;24600;15051;2497;701;816;446;2151;1376;1470;375;355;371;892;1731;446;446;446;870;881;0;;515;167;
Conectius;Conectius - Rateio;Outras Receitas;0;0;0;0;0;0;0;0;0;0;0;0;3591;3591;3591;3591;3591;3591;3591;3591;3591;;;
Conectius;Conectius - Rateio;Plano de Saúde;0;0;0;0;0;0;0;0;0;0;0;0;5395;5395;5395;5395;5395;5395;5395;6179,14;9485;1314;6785;
Conectius;Conectius - Rateio;Receita Bruta de Vendas;168883;102034;7916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8587;;;
Conectius;Conectius - Rateio;Receitas Financeiras;;;;;;;;;;;;;;;;;;0;0,02;0,77;0,14;0,49;0;
DZM;DZM - Alcalinas;Despesas Administrativas;966;1111;1347;1684;2022;850;1024;919;1390;991;897;543;1498;930;484;484;484;;;;;;;
DZM;DZM - Audiovisual;Despesas Administrativas;0;0;0;0;0;175;61;83;83;157;496;287;130;446;176;127;0;;;;;;;
DZM;DZM - Imóveis Guilhermina;Despesas Administrativas;0;0;0;0;74;4;2;112;294;117;202;497;515;554;420;231;14;;;;;;;
DZM;DZM - Rancho da Praia;Despesas Administrativas;9037;6235;3270;3996;7788;2998;1841;6663;23003;33226;53884;46072;19672;12349;5128;14443;10500;;;;;;;
DZM;DZM - Terceirização;Despesas Administrativas;0;0;0;314;1115;1684;1368;1447;1502;1870;2357;3370;1963;8104;334;1206;1668;;;;;;;
DZM;DZM - Alcalinas;Custo dos Serviços Prestados;4642;10026;6302;11579;4889;3590;3918;717;3171;0;0;0;0;0;0;0;0;;;;;;;
DZM;DZM - Audiovisual;Custo dos Serviços Prestados;0;0;0;0;0;55;463;0;0;0;0;0;0;87;0;0;0;;;;;;;
DZM;DZM - Imóveis Guilhermina;Custo dos Serviços Prestados;0;0;0;0;0;5;33;0;0;0;0;0;0;6;0;0;0;;;;;;;
DZM;DZM - Rancho da Praia;Custo dos Serviços Prestados;2994;3750;4237;3935;3931;4331;4357;5313;7970;27602;10974;17015;19093;1056;5225;22127;3133;;;;;;;
DZM;DZM - Terceirização;Custo dos Serviços Prestados;0;0;26979;23096;36264;37177;34895;39097;39813;41486;86617;33042;31171;21875;31978;32768;39661;;;;;;;
DZM;DZM - Alcalinas;Impostos;49;172;1016;716;516;234;4;202;1307;0;0;0;0;0;0;0;0;;;;;;;
DZM;DZM - Audiovisual;Impostos;0;0;0;0;0;649;715;737;787;920;953;945;1021;1080;1005;1085;0;;;;;;;
DZM;DZM - Imóveis Guilhermina;Impostos;0;0;0;0;67;2;0;212;217;226;228;234;1490;723;405;418;270;;;;;;;
DZM;DZM - Rancho da Praia;Impostos;331;141;500;214;165;71;58;956;69;81;467;2250;29;45;116;48;341;;;;;;;
DZM;DZM - Terceirização;Impostos;0;0;0;0;0;4372;2659;3356;3154;4468;4571;0;13560;5009;0;3830;10902;;;;;;;
DZM;DZM - Alcalinas;Receita Bruta de Vendas;432;3226;5382;13983;6677;3811;0;6677;16590;0;0;0;0;0;0;0;0;;;;;;;
DZM;DZM - Audiovisual;Receita Bruta de Vendas;0;0;0;0;0;10400;10400;10400;10400;10400;10400;10400;10400;10400;10400;10400;0;;;;;;;
DZM;DZM - Imóveis Guilhermina;Receita Bruta de Vendas;0;0;0;0;874;944;869;879;858;864;905;891;919;972;981;930;844;;;;;;;
DZM;DZM - Rancho da Praia;Receita Bruta de Vendas;2854;2688;2688;4088;2162;10572;8529;14817;14842;16695;6749;22772;14134;14400;13282;14190;3215;;;;;;;
DZM;DZM - Terceirização;Receita Bruta de Vendas;0;0;0;0;0;72197;38731;47623;41603;50702;50073;0;138423;47106;0;36665;95774;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;;2520;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;451;805;412;525;416;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;660;1347;;;1405;
Mar_BR;Eventuais B2G;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;418;;;
Mar_BR;Rede Alpha;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;35;63;37;;34;
Mar_BR;Rossi Advogados;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;12;21;11;;12;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;6577;11736;6016;6720;6496;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;735;1278;655;735;707;
Mar_BR;São Paulo CRSN PSP 6018/2025;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;;;335;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Adiantamento - Credenciado Operacional;;;;;;;;;;;;;;;;;;;6500;;;;;
Mar_BR;São Paulo CRSN PSP 6018/2025;Adiantamento - Credenciado Operacional;;;;;;;;;;;;;;;;;;;;;;4500;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;;;;600;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;80;;27;125;133;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;117;;;;448;
Mar_BR;Eventuais B2G;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;;;28;;;
Mar_BR;Rede Alpha;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;6;;2;;11;
Mar_BR;Rossi Advogados;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;2;;1;;4;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;1165;;398;1600;2072;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;130;;43;175;226;
Mar_BR;São Paulo CRSN PSP 6018/2025;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;;;;;107;
Mar_BR;Rossi Advogados;Ativos;27883;32055;32055;34895;34120;34120;34295;34295;35052;36671;37788;34199;34199;35693;36027;36027;148385,2;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Ativos;;;;;;;;;;;;;;;;;;;;;;5480;96;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Ativos;;;;;;;;;;;;;;;;;;649;725;1340;1568;1174;822;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Ativos;;;;;;;;;;;;;;;;;;6515;6423;7603;5750;43;7483;
Mar_BR;D.Z.M;Ativos;;;;;;;;;;;;;;;;;;287;;393;676;;;
Mar_BR;Eventuais B2G;Ativos;;;;;;;;;;;;;;;;;;555;;;1332;;;
Mar_BR;Rede Alpha;Ativos;;;;;;;;;;;;;;;;;;48;56;104;120;2;45;
Mar_BR;Rossi Advogados;Ativos;;;;;;;;;;;;;;;;;;17;19;36;37;1;16;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Ativos;;;;;;;;;;;;;;;;;;9499;10561;19525;22891;15113;12538;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Ativos;;;;;;;;;;;;;;;;;;939;1181;2126;2460;1651;1329;
Mar_BR;São Paulo CRSN PSP 6018/2025;Ativos;;;;;;;;;;;;;;;;;;;;;;;445;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Consórcios - a contemplar;;;;;;;;;;;;;;;;;;;;;;682;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Consórcios - a contemplar;;;;;;;;;;;;;;;;;;143;151;150;155;142;126;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Consórcios - a contemplar;;;;;;;;;;;;;;;;;;254;221;252;;;424;
Mar_BR;Eventuais B2G;Consórcios - a contemplar;;;;;;;;;;;;;;;;;;123;;;157;;;
Mar_BR;Rede Alpha;Consórcios - a contemplar;;;;;;;;;;;;;;;;;;11;12;;14;;10;
Mar_BR;Rossi Advogados;Consórcios - a contemplar;;;;;;;;;;;;;;;;;;4;4;;4;;4;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Consórcios - a contemplar;;;;;;;;;;;;;;;;;;2098;2205;2193;2263;1818;1962;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Consórcios - a contemplar;;;;;;;;;;;;;;;;;;207;247;245;247;199;214;
Mar_BR;São Paulo CRSN PSP 6018/2025;Consórcios - a contemplar;;;;;;;;;;;;;;;;;;;;;;;101;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Consórcios - contemplados;;;;;;;;;;;;;;;;;;;;;;579;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Consórcios - contemplados;;;;;;;;;;;;;;;;;;246;260;386;266;121;107;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Consórcios - contemplados;;;;;;;;;;;;;;;;;;437;380;645;;;360;
Mar_BR;Eventuais B2G;Consórcios - contemplados;;;;;;;;;;;;;;;;;;211;;;270;;;
Mar_BR;Rede Alpha;Consórcios - contemplados;;;;;;;;;;;;;;;;;;18;20;30;24;;9;
Mar_BR;Rossi Advogados;Consórcios - contemplados;;;;;;;;;;;;;;;;;;6;7;10;7;;3;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Consórcios - contemplados;;;;;;;;;;;;;;;;;;3603;3787;5619;3886;1544;1666;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Consórcios - contemplados;;;;;;;;;;;;;;;;;;356;423;612;423;169;181;
Mar_BR;São Paulo CRSN PSP 6018/2025;Consórcios - contemplados;;;;;;;;;;;;;;;;;;;;;;;86;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Corretiva - B2B;3338;3347;3338;0;0;0;2147;48;7;0;0;0;0;0;0;0;2260;;;;;;;
