ATIVOS E BENS;Detalhes;FORMATO;TIPO;EMPRESA;Documento;CENTRO DE CUSTO;STATUS;FORMA DE PAGTO;Dia Débito;Início Contrato;Término Contrato;Mês; Total Contrato ;Parcelas Contratadas; Valor Parcela ;Parcelas Pagas;Parcelas Restantes; Total Pago ; Montante a Pagar 
Trator;;FINANCIAMENTO;ATIVOS;MAR BRASIL;Contr 014799729;NOSSA EMPRESA;Transferido;Débito CC Bradesco - MBR;19;19/06/2021;19/06/2026;46192; R$ 321.796,80 ;60; R$ 5.363,30 ;55;5; R$ 294.981,50 ; R$ 26.816,50 
Plataforma GL-12;;FINANCIAMENTO;ATIVOS;CONECTIUS;;Conectius - Rateio;Pagando;BNDES Bradesco - CONECTIUS ;15;15/10/2022;15/09/2025;45915; R$ 60.549,48 ;36; R$ 1.681,93 ;36;0; R$ 60.549,48 ; R$ -   
ABC Telhas Metálicas;Material ribeirópolis;FINANCIAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Pagando;BNDES Bradesco - Mar Brasil;15;21/07/2023;15/10/2026;; R$ 79.039,60 ;40; R$ 1.975,99 ;30;10; R$ 59.279,70 ; R$ 19.759,90 
Caminhão GL-12 ;CDC Veículo;FINANCIAMENTO;ATIVOS;CONECTIUS;Contr 5897374;Conectius - Rateio;Transferido;Débito CC Bradesco - CONECTIUS;28;29/08/2022;29/07/2027;46597; R$ 337.354,80 ;60; R$ 5.622,58 ;41;19; R$ 230.525,78 ; R$ 106.829,02 
New Comercio;;FINANCIAMENTO;ATIVOS;CONECTIUS;;Conectius - Rateio;Pagando;BNDES Bradesco - CONECTIUS ;15;15/08/2023;15/07/2026;; R$ 29.255,40 ;36; R$ 812,65 ;29;7; R$ 23.566,85 ; R$ 5.688,55 
LOTE 6 - Casa Dauren Pri;;FINANCIAMENTO;ATIVOS;PESSOAL;;PESSOAL;Pagando;VIA PIX ITAÚ PRI PF;20;06/03/2023;20/04/2028;46863; R$ 650.000,00 ;66; R$ 5.000,00 ;33;33; R$ 460.000,00 ; R$ 165.000,00 
Carro SONGPLUS BYD;;FINANCIAMENTO;ATIVOS;MAR BRASIL;Contr 291482031;Mar Brasil - Rateio;Pagando;Débito CC Bradesco - MBR;3;28/11/2023;10/12/2027;46731; R$ 225.465,66 ;48; R$ 4.601,34 ;24;24; R$ 190.232,16 ; R$ 110.432,16 
Caminhonete Iveco;;FINANCIAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Liquidado; ;19;19/01/2024;26/11/2024;; R$ 129.196,44 ;12; R$ 3.588,79 ;12;0; R$ 113.907,48 ; R$ -   
Consórcio Bradesco ;Grupo 10447 cota 54;CONSÓRCIO;ATIVOS;CONECTIUS;Contr 701664330;Conectius - Rateio;Pagando;Débito CC Bradesco;10;28/07/2022;28/12/2029;47480; R$ 63.233,61 ;89; R$ 710,49 ;41;48; R$ 22.575,90 ; R$ 34.103,52 
Consórcio Bradesco ;Grupo 10010 cota 167;CONSÓRCIO;ATIVOS;CONECTIUS;;Conectius - Rateio;Desistido;Débito CC Bradesco;10;31/03/2023;10/08/2023;; R$ 40.914,00 ;65; R$ 750,17 ;5;60; R$ 3.812,01 ; R$ 45.010,20 
Consórcio Bradesco ;Grupo 10051 cota 186;CONSÓRCIO;ATIVOS;CONECTIUS;;Conectius - Rateio;Desistido;Débito CC Bradesco;10;31/03/2023;10/08/2023;; R$ 40.914,00 ;66; R$ 741,45 ;5;61; R$ 3.754,47 ; R$ 45.228,45 
Consórcio Bradesco ;Grupo 10069 cota 175;CONSÓRCIO;ATIVOS;CONECTIUS;;Conectius - Rateio;Desistido;Débito CC Bradesco;10;31/03/2023;10/08/2023;; R$ 40.914,00 ;66; R$ 741,45 ;5;61; R$ 3.754,47 ; R$ 45.228,45 
Consórcio Massey ;Grupo 0366 cota 0804;CONSÓRCIO;ATIVOS;MAR BRASIL;Contemplado;Mar Brasil - Rateio;Pagando;Boleto - Tchandra;20;28/03/2024;28/02/2029;47177; R$ 201.399,00 ;60; R$ 2.510,64 ;22;38; R$ 169.582,16 ; R$ 64.990,03 
Consórcio Massey  ;Grupo 0378 cota 0458;CONSÓRCIO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Pagando;Débito CC Bradesco;20;28/03/2024;18/11/2033;48901; R$ 292.320,00 ;117; R$ 2.873,22 ;22;95; R$ 60.371,02 ; R$ 272.955,90 
Consórcio Massey  ;Grupo 0367 cota 0202;CONSÓRCIO;ATIVOS;MAR BRASIL;Contemplado;Mar Brasil - Rateio;Pagando;Débito CC Bradesco;20;28/03/2024;28/02/2029;47177; R$ 193.396,00 ;60; R$ 2.412,72 ;22;38; R$ 155.820,81 ; R$ 76.672,78 
